Name,symbol,AssetType,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Valuation
Everbridge Inc,EVBG,Common Stock,"Everbridge, Inc. is a software company in the United States and internationally. The company is headquartered in Burlington, Massachusetts.",1437352,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"25 CORPORATE DRIVE, SUITE 400, BURLINGTON, MA, US",December,2021-12-31,1758502000,-33284000,None,-2.6,11.75,0,0,-2.5,9.71,-0.257,-0.222,-0.0418,-0.265,368433000.0,254217000.0,-2.5,0.0,0.36,43.2,-,181.82,4.773,3.998,5.5,-,0.842,167.4,27.81,44.27,106.98,39428300.0,None,None,1745490841.0000002
Sixth Street Specialty Lending Inc,TSLX,Common Stock,None,1508655,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,1796761000,None,8.47,1.274,16.84,1.79,0.0694,2.792,3.86,0.76,0.652,0.0464,0.174,278593000.0,278593000.0,2.792,-0.28,0.259,24.75,8.47,11.39,6.45,1.384,-,-,1.123,23.81,18.75,23.32,23.22,76005000.0,2022-04-18,2022-03-14,1772436600.0
Ping Identity Holding Corp,PING,Common Stock,None,1679826,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"C/O PING IDENTITY HOLDING CORP., 1001 17TH STREET, SUITE 100, DENVER, CO, US",December,2021-12-31,2286255000,2475000,None,5.59,8.85,0,0,-0.782,3.638,-0.215,-0.259,-0.0447,-0.0881,299449000.0,231514000.0,-0.782,0.0,0.192,30.36,-,1428.57,7.63,3.063,7.89,1064.66,1.064,30.25,17.6,21.15,23.61,83868000.0,None,None,1773808200.0
Wallbox NV,WBX,Common Stock,"Wallbox NV, a technology company, creates electric vehicle charging and energy management systems that redefine users' relationship with the grid. ",1866501,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,1983409000,None,None,None,31.2,0,0,-124.12,102.53,-1.085,-0.468,-0.117,0.0,41036000.0,9066200.0,-124.12,0.0,3.584,23.75,-,-,48.33,-,23.22,-,None,21.47,7.28,12.98,12.15,137740000.0,None,None,1787865200.0
Zuora Inc,ZUO,Common Stock,"Zuora, Inc. provides subscription-based cloud-based software that enables companies in various industries to launch, manage, and transform into a subscription business. The company is headquartered in Redwood City, California.",1423774,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"101 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, US",January,2022-01-31,1873920000,-76167000,None,None,1.332,0,0,-0.8,2.792,-0.287,-0.277,-0.139,-0.581,346738000.0,206632000.0,-0.8,0.0,0.144,22.6,-,666.67,5.4,11.65,5.28,-,2.158,23.25,12.32,15.06,17.46,119000000.0,None,None,1792140000.0
Zhihu Inc,ZH,Common Stock,"Zhihu Inc. operates an online content community platform in the People's Republic of China. The company is headquartered in Beijing, China.",1835724,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,1426223000,None,None,None,11.34,0,0,-0.482,6.16,-0.439,-0.47,-0.138,-0.274,2959324000.0,1553901000.0,-0.482,0.0,0.961,4.86,-,-,0.482,1.535,0.172,-,None,13.85,1.39,3.231,7.38,561505000.0,None,None,1814222655.0
Micro Focus International plc,MFGP,Common Stock,"Micro Focus International plc engages in the enterprise software business in the United Kingdom, the United States, Germany, Canada, France, Japan, and internationally. The company is headquartered in Newbury, the United Kingdom.",1359711,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"THE LAWN, 22-30 OLD BATH ROAD, BERKSHIRE, GB",April,2021-04-30,1783374000,656100000,None,None,8.51,0.291,0.0549,-1.261,8.62,-0.146,-0.0068,-0.0012,-0.144,2899900000.0,2126200000.0,-1.261,1.45,-0.02,6.9,-,4.554,0.615,0.661,2.084,8.38,2.423,7.46,4.136,5.42,5.49,335831000.0,2022-04-21,2022-03-10,1820204020.0
BigCommerce Holdings Inc,BIGC,Common Stock,"BigCommerce Holdings, Inc. operates a software as a service platform for small businesses, medium-sized businesses, and large businesses in the United States. The company is headquartered in Austin, Texas.",1626450,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"11305 FOUR POINTS DR, BLDG 2, 3RD FLOOR, AUSTIN, TX, US",December,2021-12-31,1609559000,None,None,None,1.912,0,0,-1.081,3.099,-0.349,-0.239,-0.0791,-0.432,219855000.0,171376000.0,-1.081,0.0,0.504,34.54,-,-,7.32,12.2,7.44,-,None,72.2,17.27,25.32,45.89,72470000.0,None,None,1834940400.0
LivePerson Inc,LPSN,Common Stock,"LivePerson, Inc., offers conversational commerce solutions. The company is headquartered in New York, New York.",1102993,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"475 10TH AVENUE, 5TH FLOOR, NEW YORK, NY, US",December,2021-12-31,1804836000,-26822000,None,5.92,4.838,0,0,-1.8,6.75,-0.266,-0.17,-0.0456,-0.421,469624000.0,312744000.0,-1.8,0.0,0.212,29.75,-,714.29,3.843,5.38,4.133,-,1.295,68.82,16.0,25.34,46.25,72571000.0,None,None,1838949140.0
AvidXchange Holdings Inc. Common Stock,AVDX,Common Stock,"AvidXchange Holdings, Inc. provides accounts payable (AP) automation software and payment solutions for middle market businesses and vendors in North America. The company is headquartered in Charlotte, North Carolina.",1858257,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"1210 AVIDXCHANGE LANE, CHARLOTTE, NC, US",December,2021-12-31,1738071000,None,None,None,3.674,0,0,-2.637,2.92,-0.804,-0.432,-0.0448,-0.382,248409000.0,148319000.0,-2.637,0.0,0.31,15.5,-,-,7.0,2.379,5.43,-,None,27.43,6.5,9.38,15.16,196805000.0,None,None,1846030900.0000002
Liberty Latin America Ltd,LILAK,Common Stock,"Liberty Latin America Ltd., provides fixed, mobile and submarine telecommunications services. The company is headquartered in Denver, Colorado.",1712184,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"1550 WEWATTA STREET, SUITE 1000, DENVER, CO, US",December,2021-12-31,2233918000,1675100000,None,0.83,9.73,0,0,-1.892,20.63,-0.0917,0.148,0.0292,-0.157,4799000000.0,3609000000.0,-1.892,0.0,0.166,16.8,-,24.1,0.466,1.019,1.87,7.53,1.381,14.96,9.05,10.25,12.19,181828000.0,None,None,1863737000.0
GoodRx Holdings Inc,GDRX,Common Stock,"GoodRx Holdings, Inc. provides information and tools that allow consumers to compare prices and save when buying prescription drugs in the United States. The company is headquartered in Santa Monica, California.",1809519,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"233 WILSHIRE BLVD., SUITE 990, SANTA MONICA, CA, US",December,2021-12-31,7888689000,35745000,None,None,2.076,0,0,-0.062,1.818,-0.0339,0.018,0.0054,-0.0327,745424000.0,698708000.0,-0.062,-0.071,0.389,25.69,-,47.17,10.58,9.25,10.0,155.27,None,48.05,13.44,21.63,33.38,86216000.0,None,None,1864852080.0
ZipRecruiter Inc,ZIP,Common Stock,"ZipRecruiter, Inc. operates an online job market that connects job seekers and employers. The company is headquartered in Santa Monica, California.",1617553,NYSE,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1453 THIRD STREET PROMENADE, SUITE 335, SANTA MONICA, CA, US",December,2021-12-31,2763286000,28022000,1367.65,None,1.988,0,0,0.017,7.25,0.0049,0.0348,0.0527,0.0224,741141000.0,661527000.0,0.017,-0.718,0.925,35.4,1367.65,-,3.728,12.03,3.504,2354.44,None,32.9,18.03,21.16,24.95,88685000.0,None,None,1876574600.0
Arqit Quantum Inc,ARQQ,Common Stock,"Arqit Limited develops and offers a quantum key distribution network. The company is headquartered in London, United Kingdom.",1859690,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"1ST FLOOR, 3 MORE LONDON RIVERSIDE, 1ST FLOOR, LONDON, GB",September,2021-09-30,1885146000,None,None,None,0.56,0,0,-3.977,0.001,0.0,-289.88,-0.141,-0.497,47910.0,47910.0,-3.977,0.0,0.0,None,-,666.67,39347.65,-,40184.5,-,None,41.52,8.0,15.64,16.7,120073000.0,None,None,1877941720.0
N-able Inc,NABL,Common Stock,None,1834488,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"1209 ORANGE STREET, WILMINGTON, DE, US",December,2021-12-31,1694215000,61346000,9420,None,3.454,0,0,0.001,2.069,0.0003,0.0962,0.0195,0.0002,346456000.0,299779000.0,0.001,-0.854,0.12,13.5,9420,31.55,4.89,2.752,5.82,30.63,None,16.0,8.89,10.53,12.11,179843000.0,None,None,1893746790.0
Eldorado Gold Corporation,EGO,Common Stock,"discovery, acquisition, financing, development, production, sale and recovery of mineral products, mainly in Turkey, Canada, Greece, Brazil and Romania. The company is headquartered in Vancouver, Canada.",918608,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,2107182000,402812000,None,10.65,19.57,0,0,-0.754,5.22,-0.145,0.22,0.0262,0.003,940914000.0,475733000.0,-0.754,-0.758,-0.122,14.01,-,21.05,2.24,0.575,2.204,4.933,1.529,12.33,7.46,10.5,9.48,182673000.0,2018-12-31,2017-03-03,1918066500.0
Clear Secure Inc.,YOU,Common Stock,"Clear Secure, Inc. is focused on operating as a holding company for Alclear Holdings LLC providing a member-centric secure identity platform using biometric data in the United States. The company is headquartered in New York, New York.",1856314,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"65 EAST 55TH STREET, 17TH FLOOR, NEW YORK, NY, US",December,2021-12-31,2923635000,29530000,None,None,3.585,0,0,-0.471,3.317,-0.142,-0.453,-0.138,-4.381,253953000.0,149017000.0,-0.471,0.0,0.517,30.4,-,-,11.51,7.16,6.07,141.11,None,65.7,18.79,24.53,36.27,78566000.0,None,None,1927223980.0
CS Disco Inc.,LAW,Common Stock,"CS Disco, Inc., a legal technology company, offers artificial intelligence and cloud computing solutions that help attorneys and legal teams solve their clients' legal problems. The company is headquartered in Austin, Texas.",1625641,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"3700 N. CAPITAL OF TEXAS HIGHWAY, SUITE 150, AUSTIN, TX, US",December,2021-12-31,1978526000,None,None,None,4.632,0,0,-0.735,3.443,-0.213,-0.208,-0.0813,-0.145,114342000.0,83244000.0,-0.735,0.0,0.762,48.6,-,-,17.3,7.67,15.79,-,None,69.41,25.99,33.25,42.07,58226000.0,None,None,1936014500.0
TDCX Inc.,TDCX,Common Stock,None,1803112,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,1730023000,179701000,20.25,None,3.215,0,0,0.598,4.331,0.187,0.252,0.212,0.36,555198000.0,215515000.0,0.598,-0.091,0.288,22.75,20.25,19.16,3.116,5.06,2.725,8.39,None,30.0,9.63,13.56,18.03,142859000.0,None,None,1937168040.0
Gray Television Inc,GTN,Common Stock,"Gray Television, Inc., a television broadcasting company, owns and / or operates television stations and digital assets in the United States. The company is headquartered in Atlanta, Georgia.",43196,NYSE,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"4370 PEACHTREE ROAD NE, ATLANTA, GA, US",December,2021-12-31,2105606000,720000000,55.5,0.388,18.85,0.32,0.0144,0.4,25.4,0.0373,0.207,0.0333,0.0374,2413000000.0,806000000.0,0.4,-0.924,-0.09,30,55.5,3.881,0.873,1.219,3.901,14.9,1.745,25.06,18.25,22.16,22.15,87809000.0,2022-03-31,2022-03-14,1945847440.0
CSG Systems International Inc,CSGS,Common Stock,"CSG Systems International, Inc. provides revenue management, customer experience, and payment solutions primarily to the communications industry in the Americas, Europe, the Middle East, Africa, and Asia Pacific. The company is headquartered in Greenwood Village, Colorado.",1005757,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"6175 SOUTH WILLOW DRIVE, GREENWOOD VILLAGE, CO, US",December,2021-12-31,2099088000,163018000,28.71,-3.22,13.95,1,0.0163,2.26,32.93,0.0691,0.123,0.0593,0.168,1046487000.0,503276000.0,2.26,0.317,0.056,67,28.71,-,2.006,4.771,2.215,12.11,0.822,65.67,41.75,60.92,53.02,32348400.0,2022-03-30,2022-03-17,1970664528.0
Exscientia Limited American Depositary Shares,EXAI,Common Stock,"Exscientia Limited, an artificial intelligence-powered pharmaceutical technology company, is dedicated to drug discovery, design and development. The company is headquartered in Oxford, the United Kingdom.",1865408,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,1804843000,None,None,None,4.689,0,0,-1.294,0.549,-1.799,-1.997,-0.0951,-0.158,27359000.0,10247000.0,-1.294,0.0,0.048,27,-,-,65.97,2.299,27.34,-,None,30.38,11.1,16.34,19.03,120887000.0,None,None,1975293580.0
Progress Software Corporation,PRGS,Common Stock,"Progress Software Corporation develops business applications. The company is headquartered in Bedford, Massachusetts.",876167,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"14 OAK PARK DRIVE, BEDFORD, MA, US",November,2022-02-28,2080939000,188738000,26.17,5.78,8.38,0.7,0.0149,1.8,12.65,0.144,0.231,0.0674,0.222,554955000.0,467800000.0,1.8,0.095,0.195,59.8,26.17,11.55,3.75,5.54,4.539,14.03,1.15,53.59,41.35,44.77,46.92,44181300.0,2022-03-15,2022-05-31,1977996801.0000002
Corsair Gaming Inc,CRSR,Common Stock,"Corsair Gaming, Inc. designs, markets and distributes gaming and broadcast peripherals, components and systems in the Americas, Europe, the Middle East and Asia Pacific. ",1743759,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","47100 BAYSIDE PARKWAY, FREMONT, CA, US",December,2021-12-31,2004912000,182988000,20.85,None,6.01,0,0,1.01,20.42,0.053,0.0724,0.065,0.201,1904060000.0,513854000.0,1.01,-0.418,-0.082,28.56,20.85,14.77,1.053,3.723,1.235,13.26,None,42.97,17.45,20.89,24.87,95200000.0,None,None,1988728000.0
Vimeo Inc,VMEO,Common Stock,"Vimeo, Inc. owns and operates an online video platform for users to upload, share, and view videos. ",1837686,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","555 WEST 18TH STREET, NEW YORK, NY, US",December,2021-12-31,1995990000,None,None,None,2.231,0,0,-0.33,2.45,-0.135,-0.156,-0.0747,-0.232,391678000.0,289141000.0,-0.33,0.0,0.267,18.33,-,128.21,5.1,5.66,5.6,430.8,None,57.0,9.2,12.71,26.67,156795000.0,None,None,1992864450.0000002
Duolingo Inc. Class A Common Stock,DUOL,Common Stock,None,1562088,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"5900 PENN AVE, SECOND FLOOR, PITTSBURGH, PA, US",December,2021-12-31,3694510000,None,None,None,13.41,0,0,-2.57,10.7,-0.24,-0.223,-0.0833,-0.196,250772000.0,181586000.0,-2.57,0.0,0.513,119.43,-,-,14.73,7.29,12.84,-,None,205.0,64.81,88.51,124.2,22592400.0,None,None,1999653324.0
Chindata Group Holdings Limited,CD,Common Stock,"Chindata Group Holdings Limited offers operator neutral hyperscale data center solutions in China, India and Southeast Asia. The company is headquartered in Beijing, China.",1807192,NASDAQ,USD,China,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","NO. 47 LAIGUANGYING EAST ROAD, CHAOYANG DISTRICT, BEIJING, CHINA",December,2021-12-31,2401405000,1262225000,49.04,None,28.23,0,0,0.135,7.93,0.111,0.237,0.0241,0.0319,2852277000.0,1199613000.0,0.135,0.0,0.414,10.27,49.04,50,0.842,1.573,0.953,2.009,None,17.48,3.75,5.53,8.93,362750000.0,None,None,2006007500.0
Cardlytics Inc,CDLX,Common Stock,"Cardlytics, Inc. operates an advertising platform within financial institutions' digital channels including online, mobile, email, and various real-time notifications in the United States and the United Kingdom. The company is headquartered in Atlanta, Georgia.",1666071,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","675 PONCE DE LEON AVENUE, NE, SUITE 6000, ATLANTA, GA, US",December,2021-12-31,1872720000,-27847000,None,None,20.6,0,0,-3.992,8.29,-0.481,-0.36,-0.0712,-0.303,267116000.0,103440000.0,-3.992,0.0,0.342,74.5,-,-,7.01,2.943,7.48,-,2.341,145.0,42.11,59.52,81.58,33742700.0,None,None,2008365504.0
Novonix Limited,NVX,Common Stock,None,1859795,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,June,2021-12-31,2408671000,None,None,None,3.092,0,0,-0.264,0.068,0.0,-4.67,-0.0801,-0.167,6902900.0,4257600.0,-0.264,0.0,0.721,None,-,-,348.93,7.47,276.79,-,1.293,24.0,12.65,16.58,16.58,121466000.0,None,None,2013906279.9999998
Goldman Sachs BDC Inc,GSBD,Common Stock,None,1572694,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,2025474000,None,10.51,2.15,15.9,1.8,0.0905,1.892,3.412,0.555,0.858,0.0542,0.119,346980000.0,346980000.0,1.892,-0.79,0.061,19.17,10.51,10.78,5.84,1.266,-,-,1.377,20.14,17.12,19.82,19.32,101885000.0,2022-04-27,2022-03-30,2019360700.0
Telephone and Data Systems Inc,TDS,Common Stock,"Telephone and Data Systems, Inc., a telecommunications company, provides communications services in the United States. The company is headquartered in Chicago, Illinois.",1051512,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"30 NORTH LASALLE STREET, STE 4000, CHICAGO, IL, US",December,2021-12-31,2256218000,1180000000,19.69,4.56,42.2,0.7,0.0366,1,46.34,0.0293,0.0535,0.0137,0.0305,5329000000.0,2857000000.0,1.0,-0.143,-0.003,26.38,19.69,-,0.423,0.446,1.296,5.12,1.123,25.62,15.54,19.09,20.02,107256000.0,2022-03-31,2022-03-14,2047517040.0
SolarWinds Corporation,SWI,Common Stock,"SolarWinds Corporation offers information technology (IT) infrastructure management software products in the United States and internationally. The company is headquartered in Austin, Texas.",1739942,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"7171 SOUTHWEST PKWY., BLDG. 400, AUSTIN, TX, US",December,2021-12-31,2169473000,94206000,None,0,14.37,0,0,-0.327,4.547,-0.0715,0.0385,0.0033,-0.0243,718632000.0,653789000.0,-0.327,9.45,0.006,17.13,-,12.8,3.019,0.943,4.737,17.22,0.838,21.31,10.76,12.96,16.06,160464000.0,2021-08-24,2021-08-06,2079613440.0000002
Sterling Check Corp. Common Stock,STER,Common Stock,"Sterling Check Corp. The company is headquartered in New York, New York.",1645070,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"1 STATE STREET PLAZA, 24TH FLOOR, NEW YORK, NY, US",December,2021-12-31,2580703000,85706000,None,None,7.41,0,0,-0.21,7.12,-0.0289,0.0057,0.0017,-0.0287,641884000.0,328729000.0,-0.21,0.0,0.351,28.14,-,-,4.021,3.329,4.393,33.59,None,28.99,17.27,21.6,22.68,96295000.0,None,None,2079972000.0000002
Super Micro Computer Inc,SMCI,Common Stock,"Super Micro Computer, Inc. develops and manufactures high-performance server and storage solutions based on an open, modular architecture. The company is headquartered in San Jose, California.",1375365,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"980 ROCK AVENUE, SAN JOSE, CA, US",June,2021-12-31,1955280000,165752000,16.06,0.76,23.04,0,0,2.361,82.2,0.03,0.0327,0.0373,0.111,4170015000.0,534538000.0,2.361,0.5,0.412,58.25,16.06,-,0.469,1.846,0.547,13.77,1.374,47.99,32.88,40.42,39.17,51563000.0,None,None,2084176460.0
Osisko Gold Royalties Ltd,OR,Common Stock,"Osisko Gold Royalties Ltd acquires and manages precious metals and other royalties, transfers and acquisitions and other interests in Canada and internationally. The company is headquartered in Montreal, Canada.",1627272,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,2265752000,131255000,None,0,9.82,0.21,0.0131,-0.113,1.342,-0.105,-0.201,-0.0118,-0.0313,224877000.0,174312000.0,-0.113,-0.867,-0.215,12.98,-,41.67,10.08,1.65,10.7,73.35,0.581,14.81,10.59,12.61,12.44,166246000.0,2022-04-14,2022-03-30,2096362060.0
Hercules Capital Inc,HTGC,Common Stock,None,1280784,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,2224110000,213389000,12.46,0.522,11.32,1.31,0.103,1.49,2.449,0.62,0.758,0.051,0.134,280976000.0,280976000.0,1.49,-0.976,-0.038,18.72,12.46,13.3,7.92,1.668,-,-,1.393,18.61,14.83,17.68,17.18,119769000.0,2022-03-16,2022-03-08,2117515920.0
3D Systems Corporation,DDD,Common Stock,"3D Systems Corporation provides 3D printing and digital manufacturing solutions in the Americas, Europe, the Middle East, Africa, and Asia Pacific. The company is headquartered in Rock Hill, South Carolina.",910638,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"333 THREE D SYSTEMS CIRCLE, ROCK HILL, SC, US",December,2021-12-31,2158174000,2342000,6.6,2.98,6.56,0,0,2.55,5.01,0.523,-0.0524,-0.0177,0.506,615639000.0,263778000.0,2.55,0.0,-0.126,21.57,6.6,-,3.506,2.676,3.196,5.53,1.243,41.48,13.33,16.73,24.66,128310000.0,None,None,2146626300.0
Dada Nexus Limited,DADA,Common Stock,"Dada Nexus Limited operates a local on-demand and delivery retail platform in China. The company is headquartered in Shanghai, the People's Republic of China.",1793862,NASDAQ,USD,China,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","22F, ORIENTAL FISHERMAN'S WHARF, NO. 1088, YANGSHUPU ROAD, YANGPU DISTRCT, SHANGHAI, CHINA",December,2021-12-31,2314801000,None,None,None,16.33,0,0,-1.638,28.89,-0.36,-0.376,-0.217,-0.457,6866262000.0,1727160000.0,-1.638,0.0,0.008,24.74,-,-,0.337,3.898,0.303,-,None,32.5,5.0,9.26,17.86,231944000.0,None,None,2147801440.0
TPG Inc. Class A Common Stock,TPG,Common Stock,"TPG Inc. is a global alternative asset manager. The company is headquartered in Fort Worth, Texas.",1880661,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,2439328000,4118711000,0.342,None,20.32,0,0,90.19,62.94,1.433,0.823,0.321,0.848,4976387000.0,1592123000.0,90.19,0.0,-0.304,36.68,0.342,21.55,0.49,1.489,-,-,None,35.4,26.5,30.65,30.92,70812000.0,None,None,2170387800.0
Definitive Healthcare Corp. Class A Common Stock,DH,Common Stock,None,1861795,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"550 COCHITUATE ROAD, FRAMINGHAM, MA, US",December,2021-12-31,2446349000,41253000,None,None,9.0,0,0,-0.192,1.808,-0.307,-0.113,-0.0061,-0.0454,166154000.0,146733000.0,-0.192,0.0,0.376,30.4,-,96.15,14.72,2.691,13.44,88.49,None,50.3,18.14,22.37,30.19,97030000.0,None,None,2170561100.0
Matterport Inc,MTTR,Common Stock,None,1819394,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"352 EAST JAVA DRIVE, SUNNYVALE, CA, US",December,2021-12-31,2313907000,None,None,None,1.072,0,0,-2.575,0.847,0.0,-1.329,-0.234,-2.17,111174000.0,59971000.0,-2.575,0.0,0.148,15.33,-,-,20.81,9.8,23.29,-,None,37.6,5.71,7.99,16.17,280814000.0,None,None,2243703860.0
Weatherford International plc Ordinary Shares,WFRD,Common Stock,"Weatherford International plc, an oilfield services company, provides equipment and services for the drilling, evaluation, completion, production and intervention of oil and natural gas wells worldwide. The company is headquartered in Houston, Texas.",1603923,NASDAQ,USD,USA,TECHNOLOGY,OIL & GAS FIELD MACHINERY & EQUIPMENT,"70 SIR JOHN ROGERSON'S QUAY, DUBLIN, IE",December,2021-12-31,2424251000,556000000,None,None,6.74,0,0,-6.43,52.07,-0.123,0.0318,0.0142,-0.599,3645000000.0,922000000.0,-6.43,0.0,0.146,51,-,-,0.665,4.866,1.087,11.09,2.929,36.87,11.25,31.87,24.81,70493000.0,None,None,2246611910.0
TowneBank,TOWN,Common Stock,"TowneBank offers retail and business banking services for individuals, professionals, and business companies. The company is headquartered in Portsmouth, Virginia.",1499832,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,2179574000,None,10.1,0,26.46,0.78,0.0267,2.97,9.62,0.309,0.419,0.0145,0.122,697104000.0,697104000.0,2.97,-0.197,-0.051,36.17,10.1,-,3.127,1.191,-,-,1.02,34.56,27.39,31.02,31.12,72677000.0,2022-04-08,2022-03-29,2254440540.0
Axcelis Technologies Inc,ACLS,Common Stock,"Axcelis Technologies, Inc. designs, manufactures and services the ion implantation and other processing equipment used in the manufacture of semiconductor chips in the United States, Europe and Asia. The company is headquartered in Beverly, Massachusetts.",1113232,NASDAQ,USD,USA,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC","108 CHERRY HILL DRIVE, BEVERLY, MA, US",December,2021-12-31,2374208000,132843000,24.84,1.23,16.21,0,0,2.88,19.74,0.149,0.192,0.116,0.193,662428000.0,286445000.0,2.88,1.513,0.683,83.33,24.84,19.19,3.584,5.01,3.7,18.01,1.534,83.74,33.36,68.19,56.19,33182500.0,None,None,2262714675.0
Telecom Argentina S.A,TEO,Common Stock,"Telecom Argentina SA, provides telecommunications services in Argentina and internationally. The company is headquartered in Buenos Aires, Argentina.",932470,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"ALICIA MOREAU DE JUSTO 50, BUENOS AIRES, AR",December,2021-12-31,3075053000,127448998000,34.11,1.15,1256.96,0,0.0656,0.18,987.83,0.0204,0.0145,0.0035,0.0175,425493004000.0,310890000000.0,0.18,1.404,-0.038,7.97,34.11,-,0.0072,0.525,0.0114,0.025,0.846,6.55,4.39,5.27,5.18,430738000.0,2021-09-10,2021-09-02,2269989260.0
AppFolio Inc,APPF,Common Stock,"AppFolio, Inc. provides industry-specific cloud-based enterprise software data analytics, services and solutions for the real estate industry. The company is headquartered in Santa Barbara, California.",1433195,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"50 CASTILIAN DRIVE, GOLETA, CA, US",December,2021-12-31,4022626000,17154000,3848.67,5.3,8.54,0,0,0.03,10.39,0.0029,-0.0383,-0.0216,0.0035,359370000.0,215426000.0,0.03,-0.892,0.32,117.67,3848.67,-,11.19,13.44,10.93,193.03,1.017,150.78,103.63,114.53,124.9,20003700.0,None,None,2291023761.0
